date,open,high,low,close,volume,MACD,Signal,Hist,RSI,CMF
2006-08-18,386.31,387.09,380.75,383.36,9894400.0,-9.186080624382441,-11.056731028457929,1.8706504040754872,57.11334882520006,0.18783984799889766
2006-08-17,386.39,390.0,383.92,385.8,10150200.0,-8.05970957670263,-10.45732673810687,2.3976171614042396,59.01801134961754,0.08947661355782399
2006-08-16,383.48,388.45,382.12,387.72,11694600.0,-6.93221420229014,-9.752304230943526,2.820090028653386,59.28921568627452,0.1446429550958609
2006-08-15,374.11,381.6699,372.6,380.97,13383000.0,-6.508310826869717,-9.103505550128766,2.5951947232590484,46.08816062774063,0.10455903832724393
2006-08-14,371.5,375.13,368.67,369.43,9926600.0,-7.022593813912181,-8.68732320288545,1.664729388973269,40.6638159234372,0.007543888130253273
2006-08-11,373.88,375.28,368.0,368.5,7525400.0,-7.419680555168668,-8.433794673342094,1.014114118173426,39.96397838703228,-0.07753825367706953
2006-08-10,373.88,377.67,372.46,374.2,8515200.0,-7.19153278202009,-8.185342295077694,0.9938095130576041,43.87277829747428,-0.07696869661266548
2006-08-09,382.8,384.68,376.36,376.94,8613300.0,-6.712254238590106,-7.890724683780177,1.1784704451900714,48.152233866519595,-0.09794577497762919
2006-08-08,382.82,384.5,379.09,381.0,11474900.0,-5.936383536602591,-7.49985645434466,1.563472917742069,50.044286979628,-0.08371154988050312
2006-08-07,371.5,379.73,371.15,377.95,7885900.0,-5.504161379357583,-7.100717439347244,1.5965560599896609,54.52615325226789,-0.09201223184647095
2006-08-04,379.56,380.68,371.75,373.85,10180200.0,-5.429865827335391,-6.766547116944874,1.3366812896094835,50.108225108225106,-0.11069851082036937
2006-08-03,364.98,377.91,363.36,375.39,12641300.0,-5.186929245809949,-6.4506235427178895,1.26369429690794,51.7290049400141,-0.034445319092483294
2006-08-02,375.6,377.17,365.2,367.23,14181400.0,-5.588424183409018,-6.278183670856116,0.6897594874470983,40.78026008669555,-0.07139345238370713
2006-08-01,385.11,385.77,375.51,375.51,10915400.0,-5.178787178013238,-6.058304372287541,0.8795171942743032,48.669540657053645,-0.11306969790858558
2006-07-31,388.0,389.17,383.31,386.6,9181400.0,-3.914156621899565,-5.629474822209946,1.7153182003103815,52.240663900414944,-0.15007863981935002
2006-07-28,382.0,389.56,381.73,388.12,8159000.0,-2.7574898714185565,-5.055077832051668,2.2975879606331118,51.62510507144859,-0.10947243957105793
2006-07-27,387.37,387.49,377.95,382.4,11270900.0,-2.27614139316222,-4.499290544273779,2.223149151111559,46.46182495344503,-0.10077471579300476
2006-07-26,388.2,391.91,383.0,385.5,11052700.0,-1.6257841364865726,-3.924589262716338,2.2988051262297655,53.16650356493776,-0.09678569446286324
2006-07-25,385.02,391.31,383.8,389.36,11510600.0,-0.7897972928064405,-3.2976308687343585,2.507833575927918,65.60689115113549,-0.09109322208408781
2006-07-24,392.82,393.89,381.21,390.9,16156000.0,-0.0029723036802806746,-2.638699155723543,2.635726852043262,67.37511635122557,-0.051580651869647214
2006-07-21,386.14,391.75,377.69,390.108,23485600.0,0.5503404063607604,-2.000891243306682,2.5512316496674425,63.3563944116067,0.038145918048812906
2006-07-20,404.28,404.44,385.66,387.12,25052300.0,0.7392168554657133,-1.4528696235522032,2.1920864790179166,58.51170568561875,-0.035379562861969194
2006-07-19,395.01,401.14,394.66,399.0,17019900.0,1.8264651633916174,-0.7970026661634391,2.6234678295550564,63.30967169476488,-0.04759286713011132
2006-07-18,409.75,410.57,397.74,403.05,17056500.0,2.9805603885370715,-0.04149005522333693,3.0220504437604085,68.28912853395516,-0.10351216992183597
2006-07-17,404.625,411.0,403.72,407.89,11612100.0,4.236896415206218,0.814187238862574,3.4227091763436435,74.53863898500578,-0.06620824481092154
2006-07-14,410.33,411.49,398.61,403.5,15089000.0,4.822722117978856,1.6158942146858304,3.2068279032930254,69.46406314914834,-0.0533342808641126
2006-07-13,414.0,418.34,406.83,408.83,13835100.0,5.651927758407794,2.423100923430223,3.228826834977571,79.97982127414241,-0.07554307838567328
2006-07-12,422.09,422.74,416.73,417.25,9803500.0,6.908861775742025,3.3202530938925836,3.5886086818494416,80.02013808975835,-0.07780323360518189
